Ammo Description,CARTRIDGE,BULLET,BULLET,BULLET,ITEM #,B.C.,Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),GEE,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory
Product Line,CARTRIDGE,BULLET,Weight (gr.),Weight (g),ITEM #,B.C.,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,GEE,0m,50m,100m,150m,200m,250m,300m
V,17 Mach 2,15.5 gr. NTX,15.5,1.0,83176,0.115,625.0,517.0,420.0,333.0,256.0,,,196.0,134.0,89.0,56.0,33.0,,,-5.0,2.2,0.0,-16.3,-55.0,,,121.0,-5.0,4.2,4.0,-10.3,-47.0,,
V,17 Mach 2,17 gr. V-MAX,17.0,1.1,83177,0.125,640.0,539.0,447.0,364.0,289.0,,,226.0,160.0,110.0,73.0,46.0,,,-5.0,1.8,0.0,-14.2,-47.0,,,124.0,-5.0,3.8,4.0,-8.2,-39.0,,
V,17 HMR,15.5 gr. NTX,15.5,1.0,83171,0.115,770.0,649.0,538.0,438.0,348.0,268.0,199.0,297.0,211.0,145.0,96.0,61.0,36.0,20.0,-5.0,0.5,0.0,-9.0,-31.0,-73.3,-149.3,136.0,-5.0,2.5,4.0,-3.0,-23.0,-63.3,-137.3
V,17 HMR,17 gr. V-MAX,17.0,1.1,83170,0.125,777.0,665.0,561.0,466.0,380.0,303.0,235.0,333.0,244.0,174.0,120.0,80.0,51.0,30.0,-5.0,0.3,0.0,-8.2,-27.7,-64.2,-127.2,139.0,-5.0,2.3,4.0,-2.2,-19.7,-54.2,-115.2
V,17 HMR,20 gr. XTP,20.0,1.3,83172,0.125,724.0,616.0,517.0,426.0,344.0,271.0,207.0,340.0,246.0,173.0,118.0,77.0,48.0,28.0,-5.0,0.8,0.0,-10.1,-33.7,-78.1,-155.4,133.0,-5.0,2.8,4.0,-4.1,-25.7,-68.1,-143.4
V,17 WSM,20 gr. V-MAX,20.0,1.3,83180,0.185,914.0,830.0,750.0,674.0,602.0,534.0,470.0,542.0,447.0,365.0,294.0,235.0,185.0,143.0,-5.0,-0.7,0.0,-3.7,-12.7,-28.6,-53.1,172.0,-5.0,1.3,4.0,2.3,-4.7,-18.6,-41.1
SV,17 Hornet,20 gr. V-MAX,20.0,1.3,83005,0.185,1113.0,1019.0,929.0,843.0,761.0,684.0,611.0,802.0,672.0,559.0,460.0,376.0,303.0,242.0,-5.0,-1.3,0.0,-1.5,-6.5,-15.8,-30.3,213.0,-5.0,0.7,4.0,4.5,1.5,-5.8,-18.3
SV,204 Ruger,"24 gr. NTX (26"" Bbl)",24.0,1.6,83209,0.17,1341.0,1228.0,1119.0,1016.0,918.0,824.0,736.0,1399.0,1172.0,974.0,803.0,655.0,528.0,421.0,-5.0,-1.7,0.0,-0.3,-2.9,-8.5,-17.7,263.0,-5.0,0.3,4.0,5.7,5.1,1.5,-5.7
SV,204 Ruger,"32 gr. V-MAX (26"" Bbl)",32.0,2.1,83204,0.21,1288.0,1198.0,1111.0,1027.0,947.0,870.0,796.0,1720.0,1487.0,1280.0,1094.0,930.0,785.0,657.0,-5.0,-1.6,0.0,-0.3,-3.0,-8.4,-17.1,264.0,-5.0,0.4,4.0,5.7,5.0,1.6,-5.1
SV,204 Ruger,"40 gr. V-MAX (26"" Bbl)",40.0,2.6,83206,0.275,1189.0,1123.0,1058.0,996.0,936.0,877.0,821.0,1832.0,1634.0,1452.0,1286.0,1135.0,997.0,873.0,-5.0,-1.5,0.0,-0.7,-3.8,-9.7,-18.9,252.0,-5.0,0.5,4.0,5.3,4.2,0.3,-6.9
V,22 WMR,25 gr. NTX,25.0,1.6,83201,0.085,671.0,522.0,391.0,280.0,187.0,,,364.0,220.0,124.0,63.0,28.0,,,-5.0,2.1,0.0,-18.6,-69.3,,,120.0,-5.0,4.1,4.0,-12.6,-61.3,,
V,22 WMR,30 gr. V-MAX,30.0,1.9,83202,0.095,671.0,536.0,417.0,313.0,224.0,,,437.0,280.0,169.0,95.0,49.0,,,-5.0,1.9,0.0,-16.3,-58.0,,,122.0,-5.0,3.9,4.0,-10.3,-50.0,,
V,22 LR,40 gr. LRN,40.0,2.6,83211,0.12,326.0,295.0,273.0,,,,,138.0,113.0,96.0,,,,,-5.0,0.0,-23.4,,,,,,,,,,,,
V,22 LR,40 gr. HP Copper Plated,40.0,2.6,83212,0.12,337.0,302.0,278.0,,,,,147.0,118.0,100.0,,,,,-5.0,0.0,-22.1,,,,,,,,,,,,
V,22 Hornet,35 gr. V-MAX,35.0,2.3,8302,0.109,936.0,793.0,663.0,544.0,437.0,341.0,258.0,993.0,714.0,498.0,335.0,216.0,132.0,75.0,-5.0,-0.5,0.0,-5.1,-18.6,-45.0,-92.2,156.0,-5.0,1.5,4.0,0.9,-10.6,-35.0,-80.2
